city,state,dv_data_value
Federal Way,WA,63.5
Suffolk,VA,75.0
Richmond,VA,72.8
Green Bay,WI,70.0
Tacoma,WA,65.3
Vancouver,WA,60.3
Spokane Valley,WA,62.0
Madison,WI,65.8
Kenosha,WI,71.5
Charleston,WV,79.0
Appleton,WI,70.5
Yakima,WA,61.6
Milwaukee,WI,73.6
Waukesha,WI,69.6
Racine,WI,69.4
Cheyenne,WY,64.4
