city,state,ob_data_value
Charlotte,NC,32.4
Concord,NC,31.3
Jacksonville,NC,35.0
Greenville,NC,36.4
High Point,NC,33.6
Canton,OH,42.8
Fargo,ND,31.8
Dayton,OH,42.8
Akron,OH,38.2
Winston-Salem,NC,34.4
Cincinnati,OH,37.8
Cleveland,OH,41.2
Medford,OR,27.7
Parma,OH,29.3
Norman,OK,34.2
Lawton,OK,39.1
Youngstown,OH,46.1
Oklahoma City,OK,34.4
Columbus,OH,35.7
Edmond,OK,28.7
Broken Arrow,OK,32.1
Eugene,OR,28.5
Beaverton,OR,27.7
Portland,OR,25.1
Tulsa,OK,36.6
Salem,OR,31.5
Gresham,OR,28.0
Bend,OR,26.4
Hillsboro,OR,28.3
Erie,PA,37.1
Bethlehem,PA,34.8
Pittsburgh,PA,31.9
Philadelphia,PA,34.1
Allentown,PA,39.8
North Charleston,SC,37.4
Mount Pleasant,SC,25.1
Reading,PA,43.8
Knoxville,TN,34.0
Cranston,RI,29.5
Sioux Falls,SD,31.7
Providence,RI,35.6
Warwick,RI,30.7
Charleston,SC,30.2
Rock Hill,SC,35.4
Pawtucket,RI,34.3
Rapid City,SD,34.9
Columbia,SC,36.4
Scranton,PA,36.2
Chattanooga,TN,33.9
Clarksville,TN,34.0
Abilene,TX,34.8
Murfreesboro,TN,34.9
Allen,TX,27.2
Nashville,TN,31.7
Amarillo,TX,35.4
Memphis,TN,38.9
Arlington,TX,34.2
Carrollton,TX,29.2
Beaumont,TX,39.0
Corpus Christi,TX,34.9
College Station,TX,29.2
Austin,TX,26.5
Bryan,TX,34.7
Baytown,TX,34.8
Brownsville,TX,41.5
Fort Worth,TX,36.0
Denton,TX,33.1
Dallas,TX,35.2
Edinburg,TX,43.0
El Paso,TX,35.7
Frisco,TX,26.7
Garland,TX,32.0
Houston,TX,34.4
Grand Prairie,TX,32.9
Midland,TX,33.2
Irving,TX,30.5
Mission,TX,41.9
Pasadena,TX,34.4
Killeen,TX,38.6
McAllen,TX,41.8
Odessa,TX,35.8
Missouri City,TX,30.2
Mesquite,TX,33.6
Laredo,TX,42.8
League City,TX,30.4
Longview,TX,36.8
Lubbock,TX,35.6
McKinney,TX,30.1
Lewisville,TX,31.5
Pearland,TX,29.1
Plano,TX,26.7
San Angelo,TX,35.9
San Antonio,TX,35.0
Tacoma,WA,31.1
Tyler,TX,36.4
Richardson,TX,26.5
Sugar Land,TX,22.6
Pharr,TX,45.3
Waco,TX,39.5
Round Rock,TX,29.9
Provo,UT,28.9
West Valley City,UT,29.7
Wichita Falls,TX,39.3
Orem,UT,27.4
Lynchburg,VA,37.6
West Jordan,UT,26.5
St. George,UT,26.4
Burlington,VT,27.2
Ogden,UT,35.1
Chesapeake,VA,35.0
Layton,UT,27.6
Alexandria,VA,27.3
Norfolk,VA,35.9
Salt Lake City,UT,27.3
Portsmouth,VA,39.5
Sandy,UT,24.5
Hampton,VA,39.1
Newport News,VA,35.8
Everett,WA,31.7
Bellevue,WA,17.9
Suffolk,VA,33.6
Virginia Beach,VA,28.4
Kennewick,WA,33.7
Renton,WA,22.0
Bellingham,WA,31.6
Federal Way,WA,24.2
Kent,WA,25.1
Seattle,WA,21.1
Roanoke,VA,36.5
Auburn,WA,25.3
Richmond,VA,35.8
Spokane Valley,WA,29.1
Vancouver,WA,34.0
Kenosha,WI,33.3
Charleston,WV,38.8
Spokane,WA,30.1
Madison,WI,27.5
Milwaukee,WI,36.2
Appleton,WI,32.0
Yakima,WA,37.7
Green Bay,WI,35.3
Racine,WI,40.2
Waukesha,WI,31.5
Cheyenne,WY,29.4
