city,state,mh_data_value
Paterson,NJ,17.0
Reno,NV,14.0
Nashua,NH,12.8
Camden,NJ,18.9
Elizabeth,NJ,15.9
Las Vegas,NV,13.9
Passaic,NJ,17.4
Jersey City,NJ,12.6
Clifton,NJ,12.7
Manchester,NH,14.0
Mount Vernon,NY,14.1
Albuquerque,NM,14.2
Rio Rancho,NM,13.2
New Rochelle,NY,12.4
Albany,NY,14.6
Buffalo,NY,16.3
Las Cruces,NM,14.2
Santa Fe,NM,12.2
New York,NY,12.9
Charlotte,NC,12.5
Yonkers,NY,13.6
Cary,NC,9.6
Rochester,NY,16.8
Syracuse,NY,17.2
Schenectady,NY,15.8
Asheville,NC,12.8
Raleigh,NC,11.8
Durham,NC,12.6
Greensboro,NC,13.5
Fayetteville,NC,14.3
Jacksonville,NC,14.1
Wilmington,NC,14.2
Concord,NC,13.3
Gastonia,NC,15.4
Greenville,NC,14.2
High Point,NC,14.3
Winston-Salem,NC,14.3
Fargo,ND,10.7
Cleveland,OH,18.2
Akron,OH,16.8
Cincinnati,OH,16.0
Canton,OH,17.6
Dayton,OH,17.8
Norman,OK,14.2
Edmond,OK,12.6
Broken Arrow,OK,13.7
Columbus,OH,15.0
Parma,OH,14.3
Toledo,OH,16.8
Youngstown,OH,18.8
Lawton,OK,15.8
Gresham,OR,16.3
Portland,OR,13.6
Bend,OR,13.0
Medford,OR,16.4
Beaverton,OR,12.4
Eugene,OR,15.1
Salem,OR,15.3
Tulsa,OK,16.0
Oklahoma City,OK,15.4
Hillsboro,OR,12.8
Philadelphia,PA,16.1
Bethlehem,PA,14.9
Allentown,PA,17.0
Erie,PA,17.7
Pittsburgh,PA,13.9
Cranston,RI,13.9
Charleston,SC,12.7
Clarksville,TN,14.9
Scranton,PA,16.7
Mount Pleasant,SC,10.8
North Charleston,SC,16.0
Columbia,SC,14.8
Rock Hill,SC,14.9
Warwick,RI,15.0
Rapid City,SD,11.4
Knoxville,TN,16.1
Pawtucket,RI,16.9
Chattanooga,TN,15.6
Reading,PA,18.9
Providence,RI,16.2
Sioux Falls,SD,10.5
Nashville,TN,13.8
Abilene,TX,14.4
Amarillo,TX,14.4
Arlington,TX,13.3
Murfreesboro,TN,13.5
Allen,TX,10.2
Memphis,TN,15.8
Brownsville,TX,14.9
Carrollton,TX,12.0
Bryan,TX,14.6
Austin,TX,11.6
Baytown,TX,14.3
Beaumont,TX,14.5
College Station,TX,12.4
Corpus Christi,TX,13.4
Frisco,TX,9.8
Denton,TX,13.4
Fort Worth,TX,13.9
Dallas,TX,14.1
El Paso,TX,13.2
Edinburg,TX,13.6
Garland,TX,13.9
Grand Prairie,TX,13.2
Houston,TX,13.4
Killeen,TX,13.9
Missouri City,TX,10.5
McAllen,TX,13.3
Odessa,TX,13.7
League City,TX,11.2
Lubbock,TX,14.1
Mission,TX,13.7
Mesquite,TX,14.4
Lewisville,TX,12.5
Longview,TX,15.1
McKinney,TX,11.3
Pasadena,TX,14.4
Laredo,TX,15.1
Irving,TX,12.8
Pearland,TX,10.4
Midland,TX,12.5
San Antonio,TX,13.6
Plano,TX,9.9
San Angelo,TX,13.4
Waco,TX,15.8
Pharr,TX,15.4
Tyler,TX,14.4
Richardson,TX,10.7
Sugar Land,TX,9.0
Round Rock,TX,11.8
St. George,UT,13.0
Ogden,UT,15.1
Provo,UT,12.6
Layton,UT,11.9
Lynchburg,VA,14.6
West Jordan,UT,12.1
West Valley City,UT,13.9
Chesapeake,VA,12.6
Hampton,VA,13.5
Sandy,UT,10.9
Newport News,VA,13.7
Orem,UT,11.7
Norfolk,VA,13.8
Alexandria,VA,10.6
Portsmouth,VA,14.2
Salt Lake City,UT,11.9
Burlington,VT,13.7
Wichita Falls,TX,14.5
Federal Way,WA,13.7
Bellevue,WA,9.6
Everett,WA,14.1
Renton,WA,12.2
Suffolk,VA,13.1
Seattle,WA,11.2
Roanoke,VA,15.3
Auburn,WA,14.5
Bellingham,WA,13.7
Kennewick,WA,15.0
Virginia Beach,VA,11.7
Richmond,VA,14.3
Kent,WA,14.5
Charleston,WV,16.5
Appleton,WI,12.1
Madison,WI,10.8
Yakima,WA,16.1
Milwaukee,WI,15.3
Kenosha,WI,13.1
Vancouver,WA,14.0
Spokane,WA,15.2
Spokane Valley,WA,14.6
Tacoma,WA,14.8
Green Bay,WI,13.3
Waukesha,WI,11.7
Cheyenne,WY,11.6
Racine,WI,13.9
